t,v
0.042534,-0.000950
0.042596,-0.001047
0.042657,-0.001020
0.042720,-0.001073
0.042782,-0.001126
0.042846,-0.001152
0.042908,-0.001214
0.042970,-0.001179
0.043033,-0.001205
0.043094,-0.001240
0.043158,-0.001205
0.043220,-0.001249
0.043283,-0.001179
0.043345,-0.001170
0.043406,-0.001161
0.043469,-0.001108
0.043531,-0.001126
0.043594,-0.001064
0.043656,-0.001012
0.043718,-0.000976
0.043781,-0.000880
0.043844,-0.000880
0.043906,-0.000792
0.043968,-0.000712
0.044030,-0.000660
0.044094,-0.000554
0.044157,-0.000563
0.044219,-0.000466
0.044282,-0.000361
0.044343,-0.000325
0.044407,-0.000185
0.044469,-0.000194
0.044531,-0.000106
0.044595,-0.000026
0.044658,0.000000
0.044719,0.000123
0.044781,0.000106
0.044844,0.000158
0.044906,0.000211
0.044970,0.000220
0.045032,0.000317
0.045094,0.000290
0.045157,0.000290
0.045218,0.000308
0.045282,0.000299
0.045344,0.000352
0.045407,0.000290
0.045468,0.000273
0.045529,0.000273
0.045592,0.000229
0.045654,0.000281
0.045717,0.000229
0.045779,0.000167
0.045841,0.000132
0.045904,0.000088
0.045968,0.000114
0.046030,0.000053
0.046092,0.000009
0.046154,-0.000009
0.046218,-0.000097
0.046280,-0.000053
0.046341,-0.000097
0.046403,-0.000150
0.046465,-0.000167
0.046528,-0.000255
0.046590,-0.000194
0.046652,-0.000237
0.046715,-0.000273
0.046778,-0.000273
0.046842,-0.000325
0.046904,-0.000290
0.046966,-0.000299
0.047029,-0.000317
0.047093,-0.000317
0.047154,-0.000378
0.047215,-0.000334
0.047278,-0.000317
0.047339,-0.000343
0.047403,-0.000308
0.047465,-0.000361
0.047527,-0.000325
0.047591,-0.000299
0.047652,-0.000334
0.047716,-0.000264
0.047778,-0.000334
0.047841,-0.000290
0.047902,-0.000246
0.047963,-0.000264
0.048026,-0.000220
0.048088,-0.000281
0.048151,-0.000255
0.048213,-0.000220
0.048276,-0.000237
0.048338,-0.000176
0.048402,-0.000229
0.048464,-0.000211
0.048526,-0.000194
0.048590,-0.000220
0.048652,-0.000141
0.048715,-0.000202
0.048776,-0.000202
0.048838,-0.000158
0.048901,-0.000194
0.048964,-0.000123
0.049026,-0.000167
0.049088,-0.000158
0.049151,-0.000150
0.049214,-0.000167
0.049278,-0.000070
0.049340,-0.000114
0.049402,-0.000114
0.049465,-0.000079
0.049529,-0.000097
0.049591,0.000000
0.049652,-0.000026
0.049715,-0.000018
0.049776,0.000026
0.049840,0.000000
0.049902,0.000114
0.049964,0.000114
0.050028,0.000114
0.050090,0.000158
0.050152,0.000150
0.050214,0.000273
0.050277,0.000281
0.050338,0.000290
0.050401,0.000343
0.050463,0.000325
0.050525,0.000422
0.050588,0.000449
0.050650,0.000466
0.050714,0.000519
0.050776,0.000484
0.050840,0.000572
0.050902,0.000616
0.050964,0.000598
0.051028,0.000642
0.051090,0.000616
0.051153,0.000669
0.051214,0.000686
0.051276,0.000686
0.051339,0.000721
0.051402,0.000686
0.051464,0.000704
0.051526,0.000730
0.051589,0.000712
0.051652,0.000756
0.051716,0.000695
0.051778,0.000704
0.051840,0.000721
0.051902,0.000704
0.051965,0.000748
0.052027,0.000677
0.052088,0.000677
0.052151,0.000695
0.052213,0.000660
0.052276,0.000721
0.052338,0.000633
0.052400,0.000633
0.052463,0.000633
0.052527,0.000616
0.052588,0.000660
0.052650,0.000607
0.052713,0.000581
0.052775,0.000581
0.052839,0.000563
0.052901,0.000607
0.052963,0.000554
0.053027,0.000537
0.053087,0.000537
0.053151,0.000501
0.053213,0.000563
0.053276,0.000510
0.053338,0.000493
0.053400,0.000484
0.053463,0.000431
0.053525,0.000510
0.053588,0.000493
0.053650,0.000440
0.053712,0.000431
0.053775,0.000378
0.053839,0.000449
0.053901,0.000422
0.053963,0.000378
0.054026,0.000378
0.054088,0.000334
0.054151,0.000369
0.054213,0.000361
0.054275,0.000343
0.054338,0.000343
0.054401,0.000281
0.054463,0.000325
0.054525,0.000334
0.054587,0.000299
0.054650,0.000308
0.054713,0.000246
0.054775,0.000281
0.054838,0.000290
0.054899,0.000255
0.054963,0.000273
0.055024,0.000246
0.055086,0.000255
0.055149,0.000237
0.055211,0.000229
0.055275,0.000220
0.055337,0.000194
0.055401,0.000202
0.055463,0.000185
0.055525,0.000167
0.055589,0.000150
0.055651,0.000141
0.055714,0.000123
0.055775,0.000088
0.055837,0.000070
0.055898,0.000018
0.055960,0.000053
0.056023,0.000009
0.056085,-0.000026
0.056149,-0.000035
0.056211,-0.000123
0.056275,-0.000088
0.056337,-0.000123
0.056399,-0.000141
0.056463,-0.000158
0.056526,-0.000237
0.056587,-0.000185
0.056648,-0.000202
0.056710,-0.000237
0.056773,-0.000220
0.056836,-0.000281
0.056898,-0.000237
0.056960,-0.000229
0.057023,-0.000237
0.057088,-0.000194
0.057150,-0.000237
0.057212,-0.000202
0.057275,-0.000167
0.057336,-0.000158
0.057400,-0.000088
0.057461,-0.000114
0.057522,-0.000070
0.057585,0.000000
0.057648,0.000009
0.057710,0.000106
0.057772,0.000088
0.057836,0.000123
0.057898,0.000185
0.057962,0.000211
0.058024,0.000299
